Coordinates:
0.0,0.714285714286,1.42857142857,2.14285714286,2.85714285714,3.57142857143,4.28571428571,5.0,5.71428571429,6.42857142857,7.14285714286,7.85714285714,8.57142857143,9.28571428571,10.0,
Volumes:
0.357142857143,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.714285714286,0.357142857143,

 Time(s), delta (-) on vertices
512.0,2.74996643066,
513.0,2.74996948242,
514.0,2.74997253418,
515.0,2.74997558594,
516.0,2.74997406006,
517.0,2.74997253418,
518.0,2.74997329712,
519.0,2.74997406006,
520.0,2.74997367859,
521.0,2.74997329712,
522.0,2.74997348785,
523.0,2.74997367859,
524.0,2.74997386932,
525.0,2.74997377396,
526.0,2.74997367859,
527.0,2.74997372627,
528.0,2.74997377396,
529.0,2.74997382164,
530.0,2.74997386932,
531.0,2.74997384548,
532.0,2.74997382164,
533.0,2.74997383356,
534.0,2.7499738276,
535.0,2.74997382164,
536.0,2.74997381568,
537.0,2.74997381866,
538.0,2.74997382164,
539.0,2.74997382015,
540.0,2.74997381866,
541.0,2.7499738194,
542.0,2.74997381903,
543.0,2.74997381922,
544.0,2.7499738194,
545.0,2.74997381959,
546.0,2.74997381978,
547.0,2.64997381978,
548.0,2.54997381978,
549.0,2.59997381978,
550.0,2.64997381978,
551.0,2.69997381978,
552.0,2.74997381978,
553.0,2.72497381978,
554.0,2.69997381978,
555.0,2.67497381978,
556.0,2.68747381978,
557.0,2.69997381978,
558.0,2.71247381978,
559.0,2.70622381978,
560.0,2.69997381978,
561.0,2.69372381978,
562.0,2.68747381978,
563.0,2.68122381978,
564.0,2.68434881978,
565.0,2.68747381978,
566.0,2.69059881978,
567.0,2.68903631978,
568.0,2.68747381978,
569.0,2.68591131978,
570.0,2.68434881978,
571.0,2.68278631978,
572.0,2.68122381978,
573.0,2.68200506978,
574.0,2.68278631978,
575.0,2.68356756978,
576.0,2.68434881978,
577.0,2.68513006978,
578.0,2.68591131978,
579.0,2.68669256978,
580.0,2.68747381978,
581.0,2.68825506978,
582.0,2.68786444478,
583.0,2.68747381978,
584.0,2.68708319478,
585.0,2.68669256978,
586.0,2.68688788228,
587.0,2.68708319478,
