Coordinates:
0.0,2.0,4.0,6.0,8.0,10.0,
Volumes:
1.0,2.0,2.0,2.0,2.0,1.0,

 Time(s), delta (-) on vertices
43570.3700988,69.8,
43696.296024,70.0,
43822.2219491,70.2,
43948.1478742,70.4,
44074.0737994,70.6,
44199.9997245,70.8,
44325.9256497,71.0,
44451.8515748,71.2,
44577.7774999,71.4,
44703.7034251,71.6,
44829.6293502,71.8,
44955.5552754,72.0,
45081.4812005,72.2,
45207.4071257,72.4,
45333.3330508,72.6,
45459.2589759,72.8,
45585.1849011,73.0,
45711.1108262,73.2,
45837.0367514,73.4,
45962.9626765,73.6,
46088.8886016,73.8,
46214.8145268,74.0,
46340.7404519,74.2,
46466.6663771,74.4,
46592.5923022,74.6,
46718.5182273,74.8,
46844.4441525,75.0,
46970.3700776,75.2,
47096.2960028,75.4,
47222.2219279,75.6,
47348.1478531,75.8,
47474.0737782,76.0,
47599.9997033,76.2,
47725.9256285,76.4,
47851.8515536,76.6,
47977.7774788,76.8,
48103.7034039,77.0,
48229.629329,77.2,
48355.5552542,77.4,
48481.4811793,77.6,
48607.4071045,77.8,
48733.3330296,78.0,
48859.2589547,78.2,
48985.1848799,78.4,
49111.110805,78.6,
49237.0367302,78.8,
49362.9626553,79.0,
49488.8885804,79.2,
49614.8145056,79.4,
49740.7404307,79.6,
49866.6663559,79.8,
49992.592281,80.0,
50118.5182062,80.2,
50244.4441313,80.4,
50370.3700564,80.6,
50496.2959816,80.8,
50622.2219067,81.0,
50748.1478319,81.2,
50874.073757,81.4,
50999.9996821,81.6,
51125.9256073,81.8,
51251.8515324,82.0,
51377.7774576,82.2,
51503.7033827,82.4,
51629.6293078,82.6,
51755.555233,82.8,
51881.4811581,83.0,
52007.4070833,83.2,
52133.3330084,83.4,
52259.2589336,83.6,
52385.1848587,83.8,
52511.1107838,84.0,
52637.036709,84.2,
52762.9626341,84.4,
52888.8885593,84.6,
53014.8144844,84.8,
53140.7404095,85.0,
53266.6663347,85.2,
53392.5922598,85.4,
53518.518185,85.6,
53644.4441101,85.8,
53770.3700352,86.0,
53896.2959604,86.2,
54022.2218855,86.4,
54148.1478107,86.6,
54274.0737358,86.8,
54399.999661,87.0,
54525.9255861,87.2,
54651.8515112,87.4,
54777.7774364,87.6,
54903.7033615,87.8,
55029.6292867,88.0,
55155.5552118,88.2,
55281.4811369,88.4,
55407.4070621,88.6,
55533.3329872,88.8,
55659.2589124,89.0,
55785.1848375,89.2,
55911.1107626,89.4,
56037.0366878,89.6,
56162.9626129,89.8,
56288.8885381,90.0,
56414.8144632,90.2,
56540.7403884,90.4,
56666.6663135,90.6,
56792.5922386,90.8,
56918.5181638,91.0,
57044.4440889,91.2,
57170.3700141,91.4,
57296.2959392,91.6,
57422.2218643,91.8,
57548.1477895,92.0,
57674.0737146,92.2,
57799.9996398,92.4,
57925.9255649,92.6,
58051.85149,92.8,
58177.7774152,93.0,
58303.7033403,93.2,
58429.6292655,93.4,
58555.5551906,93.6,
58681.4811157,93.8,
58807.4070409,94.0,
58933.332966,94.2,
59059.2588912,94.4,
59185.1848163,94.6,
59311.1107415,94.8,
59437.0366666,95.0,
59562.9625917,95.2,
59688.8885169,95.4,
